experiment,seed,num_states,state_dim,register_type,flip_fraction,trials_per_state,recovery_accuracy,mean_abs_overlap
exp02_noise_recovery,0,64,128,hopfield,0.35,20,0.09765625,0.07049076140873016
exp02_noise_recovery,0,64,128,hopfield,0.4,20,0.05078125,0.07049076140873016
exp02_noise_recovery,0,64,256,nearest,0.0,20,1.0,0.05156017485119048
exp02_noise_recovery,0,64,256,nearest,0.05,20,1.0,0.05156017485119048
exp02_noise_recovery,0,64,256,nearest,0.1,20,1.0,0.05156017485119048
exp02_noise_recovery,0,64,256,nearest,0.15,20,1.0,0.05156017485119048
exp02_noise_recovery,0,64,256,nearest,0.2,20,1.0,0.05156017485119048
exp02_noise_recovery,0,64,256,nearest,0.25,20,1.0,0.05156017485119048
exp02_noise_recovery,0,64,256,nearest,0.3,20,1.0,0.05156017485119048
exp02_noise_recovery,0,64,256,nearest,0.35,20,1.0,0.05156017485119048
exp02_noise_recovery,0,64,256,nearest,0.4,20,0.95625,0.05156017485119048
exp02_noise_recovery,0,64,256,hopfield,0.0,20,0.5,0.05156017485119048
exp02_noise_recovery,0,64,256,hopfield,0.05,20,0.584375,0.05156017485119048
exp02_noise_recovery,0,64,256,hopfield,0.1,20,0.56015625,0.05156017485119048
exp02_noise_recovery,0,64,256,hopfield,0.15,20,0.5203125,0.05156017485119048
exp02_noise_recovery,0,64,256,hopfield,0.2,20,0.4765625,0.05156017485119048
exp02_noise_recovery,0,64,256,hopfield,0.25,20,0.38125,0.05156017485119048
exp02_noise_recovery,0,64,256,hopfield,0.3,20,0.28359375,0.05156017485119048
exp02_noise_recovery,0,64,256,hopfield,0.35,20,0.16796875,0.05156017485119048
exp02_noise_recovery,0,64,256,hopfield,0.4,20,0.09296875,0.05156017485119048
exp02_noise_recovery,0,64,512,nearest,0.0,20,1.0,0.03459240141369048
exp02_noise_recovery,0,64,512,nearest,0.05,20,1.0,0.03459240141369048
exp02_noise_recovery,0,64,512,nearest,0.1,20,1.0,0.03459240141369048
exp02_noise_recovery,0,64,512,nearest,0.15,20,1.0,0.03459240141369048
exp02_noise_recovery,0,64,512,nearest,0.2,20,1.0,0.03459240141369048
exp02_noise_recovery,0,64,512,nearest,0.25,20,1.0,0.03459240141369048
exp02_noise_recovery,0,64,512,nearest,0.3,20,1.0,0.03459240141369048
exp02_noise_recovery,0,64,512,nearest,0.35,20,1.0,0.03459240141369048
exp02_noise_recovery,0,64,512,nearest,0.4,20,0.99921875,0.03459240141369048
exp02_noise_recovery,0,64,512,hopfield,0.0,20,1.0,0.03459240141369048
exp02_noise_recovery,0,64,512,hopfield,0.05,20,1.0,0.03459240141369048
exp02_noise_recovery,0,64,512,hopfield,0.1,20,1.0,0.03459240141369048
exp02_noise_recovery,0,64,512,hopfield,0.15,20,0.9984375,0.03459240141369048
exp02_noise_recovery,0,64,512,hopfield,0.2,20,0.990625,0.03459240141369048
exp02_noise_recovery,0,64,512,hopfield,0.25,20,0.9296875,0.03459240141369048
exp02_noise_recovery,0,64,512,hopfield,0.3,20,0.75703125,0.03459240141369048
exp02_noise_recovery,0,64,512,hopfield,0.35,20,0.51015625,0.03459240141369048
exp02_noise_recovery,0,64,512,hopfield,0.4,20,0.2296875,0.03459240141369048
exp02_noise_recovery,1,8,64,nearest,0.0,20,1.0,0.10044642857142858
exp02_noise_recovery,1,8,64,nearest,0.05,20,1.0,0.10044642857142858
exp02_noise_recovery,1,8,64,nearest,0.1,20,1.0,0.10044642857142858
exp02_noise_recovery,1,8,64,nearest,0.15,20,1.0,0.10044642857142858
exp02_noise_recovery,1,8,64,nearest,0.2,20,1.0,0.10044642857142858
exp02_noise_recovery,1,8,64,nearest,0.25,20,1.0,0.10044642857142858
exp02_noise_recovery,1,8,64,nearest,0.3,20,0.9875,0.10044642857142858
exp02_noise_recovery,1,8,64,nearest,0.35,20,0.91875,0.10044642857142858
exp02_noise_recovery,1,8,64,nearest,0.4,20,0.625,0.10044642857142858
exp02_noise_recovery,1,8,64,hopfield,0.0,20,1.0,0.10044642857142858
exp02_noise_recovery,1,8,64,hopfield,0.05,20,1.0,0.10044642857142858
exp02_noise_recovery,1,8,64,hopfield,0.1,20,1.0,0.10044642857142858
exp02_noise_recovery,1,8,64,hopfield,0.15,20,1.0,0.10044642857142858
exp02_noise_recovery,1,8,64,hopfield,0.2,20,0.98125,0.10044642857142858
exp02_noise_recovery,1,8,64,hopfield,0.25,20,0.95,0.10044642857142858
exp02_noise_recovery,1,8,64,hopfield,0.3,20,0.86875,0.10044642857142858
exp02_noise_recovery,1,8,64,hopfield,0.35,20,0.7,0.10044642857142858
exp02_noise_recovery,1,8,64,hopfield,0.4,20,0.36875,0.10044642857142858
exp02_noise_recovery,1,8,128,nearest,0.0,20,1.0,0.07310267857142858
exp02_noise_recovery,1,8,128,nearest,0.05,20,1.0,0.07310267857142858
exp02_noise_recovery,1,8,128,nearest,0.1,20,1.0,0.07310267857142858
exp02_noise_recovery,1,8,128,nearest,0.15,20,1.0,0.07310267857142858
exp02_noise_recovery,1,8,128,nearest,0.2,20,1.0,0.07310267857142858
exp02_noise_recovery,1,8,128,nearest,0.25,20,1.0,0.07310267857142858
exp02_noise_recovery,1,8,128,nearest,0.3,20,1.0,0.07310267857142858
exp02_noise_recovery,1,8,128,nearest,0.35,20,1.0,0.07310267857142858
exp02_noise_recovery,1,8,128,nearest,0.4,20,0.9375,0.07310267857142858
exp02_noise_recovery,1,8,128,hopfield,0.0,20,1.0,0.07310267857142858
exp02_noise_recovery,1,8,128,hopfield,0.05,20,1.0,0.07310267857142858
exp02_noise_recovery,1,8,128,hopfield,0.1,20,1.0,0.07310267857142858
exp02_noise_recovery,1,8,128,hopfield,0.15,20,1.0,0.07310267857142858
exp02_noise_recovery,1,8,128,hopfield,0.2,20,1.0,0.07310267857142858
exp02_noise_recovery,1,8,128,hopfield,0.25,20,0.99375,0.07310267857142858
exp02_noise_recovery,1,8,128,hopfield,0.3,20,0.99375,0.07310267857142858
exp02_noise_recovery,1,8,128,hopfield,0.35,20,0.86875,0.07310267857142858
exp02_noise_recovery,1,8,128,hopfield,0.4,20,0.60625,0.07310267857142858
exp02_noise_recovery,1,8,256,nearest,0.0,20,1.0,0.04017857142857143
exp02_noise_recovery,1,8,256,nearest,0.05,20,1.0,0.04017857142857143
exp02_noise_recovery,1,8,256,nearest,0.1,20,1.0,0.04017857142857143
exp02_noise_recovery,1,8,256,nearest,0.15,20,1.0,0.04017857142857143
exp02_noise_recovery,1,8,256,nearest,0.2,20,1.0,0.04017857142857143
exp02_noise_recovery,1,8,256,nearest,0.25,20,1.0,0.04017857142857143
exp02_noise_recovery,1,8,256,nearest,0.3,20,1.0,0.04017857142857143
exp02_noise_recovery,1,8,256,nearest,0.35,20,1.0,0.04017857142857143
exp02_noise_recovery,1,8,256,nearest,0.4,20,1.0,0.04017857142857143
exp02_noise_recovery,1,8,256,hopfield,0.0,20,1.0,0.04017857142857143
exp02_noise_recovery,1,8,256,hopfield,0.05,20,1.0,0.04017857142857143
